feature,target
Master,83963.2342803949
PhD,100721.9273268824
High School,36190.55232572655
Master,86275.90039413897
Master,83694.62345107758
PhD,93252.33878689783
High School,48218.54368987685
High School,46450.74485846338
Master,88995.99826583848
Bachelor,64514.3901677672
Master,82268.3039187158
Master,78364.86072581238
Master,88654.56966708027
Master,87321.27779000817
PhD,90904.37340212379
High School,30527.33948994504
PhD,97529.26733756099
PhD,106211.06661563666
PhD,109745.52258629889
Master,73008.33782207056
Bachelor,61882.614307042706
High School,37617.81713262043
Bachelor,69398.28795629207
PhD,106842.37846271417
PhD,106766.57409422276
Bachelor,59373.86319589941
Bachelor,58296.3900467533
Bachelor,55468.141438614126
PhD,91127.50993301855
PhD,107294.44752510106
High School,46258.020182601555
High School,49994.35346572261
PhD,109932.7367414781
Bachelor,61108.63411205255
Bachelor,65379.748303610206
High School,48895.31459764856
PhD,106992.94781354823
High School,34946.96203486395
High School,39010.88270620187
Master,72583.18830302989
Master,89081.02054517446
Master,82123.4926890176
Bachelor,54572.85611006925
PhD,103434.01368811713
PhD,102362.56480915792
PhD,97163.2543606568
PhD,92271.15184399259
Master,83431.46391185599
Bachelor,60406.15401807587
Bachelor,65446.367834712786
Master,80403.27002223987
Bachelor,67043.6300063708
Master,81038.13677548971
PhD,101218.75943070772
Master,87533.07205316689
PhD,98069.65732424794
PhD,92680.30456901282
High School,30575.65352626678
Master,85102.74511347238
High School,42406.19102706929
Master,84081.59536198447
Master,74259.28323017822
High School,32727.429511735394
High School,30290.89331335764
Master,77011.75117613193
Bachelor,61798.353737092664
PhD,97844.88090199465
High School,38749.49844047458
PhD,108083.17388987498
Bachelor,56965.109340466006
Bachelor,60279.78978319622
Bachelor,65673.06025482286
High School,37930.85564642541
Bachelor,62441.73400455747
High School,47247.27417493491
Bachelor,68990.41247315284
PhD,92941.46961858076
PhD,108531.75250322989
Master,79842.32586159077
PhD,95164.88776597916
Master,79182.71512476522
PhD,109600.65150570954
High School,39852.36187985739
PhD,96575.03220575016
Master,82668.01708633451
Master,74802.91237556386
Bachelor,51517.26656217328
High School,32577.594438212986
PhD,92560.91677915545
Bachelor,53038.05387024589
