date,value,target
2024-01-01,100.0,198.46124447572475
2024-01-02,101.57210954595602,203.65135358145733
2024-01-03,103.1426645022241,206.05066966690163
2024-01-04,104.71011181638131,209.56401164268814
2024-01-05,106.2729015090148,212.3226433838487
2024-01-06,107.82948820642788,216.2025843403359
2024-01-07,109.37833266879186,218.59379221659213
2024-01-08,110.91790331223227,220.78389169940885
2024-01-09,112.44667772334458,224.97978086547533
2024-01-10,113.9631441646415,227.7121137921475
2024-01-11,115.46580306944344,230.848212517758
2024-01-12,116.95316852473375,230.71852557342737
2024-01-13,118.4237697405125,237.5301755645937
2024-01-14,119.87615250419564,239.4376413910445
2024-01-15,121.30888061862177,241.2696076632253
2024-01-16,122.72053732224387,246.36363816133587
2024-01-17,124.10972669010238,248.85581910795767
2024-01-18,125.47507501419366,250.62282983211247
2024-01-19,126.81523216186912,252.47829494421822
2024-01-20,128.12887291092184,256.4357765565231
2024-01-21,129.41469826004024,258.9525026046681
2024-01-22,130.6714367133331,262.26720770965795
2024-01-23,131.8978455376556,263.35195556045073
2024-01-24,133.0927119914934,267.3803461178518
2024-01-25,134.25485452418906,267.96945604504236
2024-01-26,135.38312394432523,269.420416104108
2024-01-27,136.47640455610943,271.8205263567416
2024-01-28,137.5336152626362,275.0048189861368
2024-01-29,138.55371063493624,277.04190676081373
2024-01-30,139.53568194575467,279.3992250322601
2024-01-31,140.4785581670372,280.86674230295597
2024-02-01,141.38140693013656,283.74013237633744
2024-02-02,142.24333544779088,284.2255767971192
2024-02-03,143.06349139696152,284.1307065290516
2024-02-04,143.84106376165767,287.56103083484953
2024-02-05,144.5752836349142,287.1437885820619
2024-02-06,145.26542497912982,290.80224093925733
2024-02-07,145.9108053440137,292.87880368701235
2024-02-08,146.5107865414302,292.0353485965779
2024-02-09,147.06477527647516,295.5481072393422
2024-02-10,147.57222373415883,295.98727871304607
2024-02-11,148.03263012111606,297.2717403976472
2024-02-12,148.44553916180746,297.08064218004955
2024-02-13,148.8105425487215,296.6283199216912
2024-02-14,149.1272793461314,299.03537412007694
2024-02-15,149.3954363470089,298.16627178724946
2024-02-16,149.6147483827407,299.3473812715847
2024-02-17,149.7849985853419,299.39864617788015
2024-02-18,149.9060186019073,300.9367330606115
2024-02-19,149.9776887610882,300.68570452809973
2024-02-20,149.99993819142986,299.91931058454736
2024-02-21,149.97274489145346,297.99388258936676
2024-02-22,149.89613575141215,299.1570440362951
2024-02-23,149.77018652670063,300.24459534288565
2024-02-24,149.59502176294384,299.47015378693425
2024-02-25,149.37081467283946,297.23840741126605
2024-02-26,149.09778696487533,296.38898595728176
2024-02-27,148.77620862409194,297.74792639834135
2024-02-28,148.40639764510593,295.7557381224961
2024-02-29,147.98871971765945,295.01664297448133
2024-03-01,147.5235878650056,295.71978345879387
2024-03-02,147.01146203548797,295.2251628513916
2024-03-03,146.45284864771816,292.1549952684
2024-03-04,145.84830008980066,291.6518398719891
2024-03-05,145.19841417310082,290.3225816802173
2024-03-06,144.5038335410953,288.8434629774941
2024-03-07,143.76524503389066,287.5710885439376
2024-03-08,142.98337900903726,286.72325694591467
2024-03-09,142.15900861931112,283.6440928918926
2024-03-10,141.29294904817715,281.0606205618382
2024-03-11,140.38605670369037,282.4621233409845
2024-03-12,139.43922837163157,279.9678786677532
2024-03-13,138.45340032871584,275.80316278618227
2024-03-14,137.42954741674953,274.994726842275
2024-03-15,136.36868207865245,273.74806632189103
2024-03-16,135.27185335729766,271.29275065912134
2024-03-17,134.14014585815946,268.7423050262482
2024-03-18,132.9746786767948,265.77913046199785
2024-03-19,131.77660429221922,265.2805125095004
2024-03-20,130.54710742727116,261.3150737270018
2024-03-21,129.28740387709198,258.0598484948633
2024-03-22,127.99873930687977,256.86855434260514
2024-03-23,126.68238802010613,253.4608346821637
2024-03-24,125.33965169841365,251.0291011240809
2024-03-25,123.9718581144405,248.1468654304722
2024-03-26,122.58035981884477,245.65749521145645
2024-03-27,121.16653280282672,241.35460935225424
2024-03-28,119.73177513747206,238.0124438877741
2024-03-29,118.27750559126098,237.98914390575553
2024-03-30,116.80516222711081,233.8599090160108
2024-03-31,115.31620098033919,231.40324923808697
2024-04-01,113.81209421895372,225.86442921772982
2024-04-02,112.29432928769253,225.65534168409957
2024-04-03,110.76440703725454,221.00732842915332
2024-04-04,109.22384034017463,217.64146251354023
2024-04-05,107.67415259481083,215.28493202198968
2024-04-06,106.11687621892287,211.25577222730323
2024-04-07,104.55355113433205,209.1053705704385
2024-04-08,102.98572324416051,205.83510814130653
2024-04-09,101.41494290415591,203.8902817135457
2024-04-10,99.8427633896132,201.19887128136585
2024-04-11,98.27073935940916,198.0229945116599
2024-04-12,96.70042531866899,191.13633565794186
2024-04-13,95.13337408158489,189.33158133332648
2024-04-14,93.57113523590658,184.8673837079908
2024-04-15,92.01525361062255,182.83696494681007
2024-04-16,90.4672677483468,180.28501728578976
2024-04-17,88.92870838392206,178.26797838307107
2024-04-18,87.40109693074376,174.282260626995
2024-04-19,85.88594397630142,171.2798178816542
2024-04-20,84.38474778842554,168.95126026005084
